playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497108","null","Jimmy Clausen","QB","CHI","QB","CHI","null","0.26","null","null","501","56","null","null","0.0638","null","null","null","0.4646","0","4.8889","null",
"497117","null","Mike Kafka","QB","MIN","QB","MIN","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","CLE","QB","CLE","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.6312","null","null","462","45","null","null","0.0159","null","null","null","1.2808","0","2.6579","null",
"497135","null","Tim Tebow","QB","FA","QB","FA","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"497145","null","Joique Bell","RB","DET","RB","DET","null","8.5097","null","null","165","41","null","null","0.227","null","null","null","9.3233","5.8357","2.6747","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","10.5773","null","null","117","32","null","null","0.2027","null","null","null","11.9699","9.66","3.2714","null",
"497172","null","Anthony Dixon","RB","BUF","RB","BUF","null","2.5184","null","null","357","85","null","null","0.1397","null","null","null","3.6976","0.9592","3.651","null",
"497174","null","Jonathan Dwyer","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","JAC","RB","JAC","null","3.064","null","null","340","81","null","null","0.2151","null","null","null","3.7155","2.1949","5.2765","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","8.4933","null","null","167","42","null","null","0.5304","null","null","null","10.3652","5.73","3.7514","null",
"497190","null","Dexter McCluster","RB","TEN","RB","TEN","null","6.3318","null","null","234","50","null","null","0.0323","null","null","null","7.8599","2.3699","3.6364","null",
"497192","null","Joe McKnight","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"497204","null","C.J. Spiller","RB","NO","RB","NO","null","11.4197","null","null","100","23","null","null","0.1733","null","null","null","14.2778","6.45","8.3386","null",
"497206","null","James Starks","RB","GB","RB","GB","null","4.4858","null","null","298","66","null","null","0.2425","null","null","null","5.5964","2.8623","3.3139","null",
"497208","null","Ben Tate","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"497218","null","Trindon Holliday","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","3.4061","null","null","332","47","null","null","0.3969","null","null","null","3.7813","2.72","4.6836","null",
"497226","null","Jim Dray","TE","CLE","TE","CLE","null","2.8968","null","null","343","49","null","null","0.153","null","null","null","3.8963","1.005","3.7849","null",
"497234","null","Garrett Graham","TE","HOU","TE","HOU","null","5.5433","null","null","263","30","null","null","0.3941","null","null","null","6.677","4.0849","3.7331","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","13.5084","null","null","63","2","null","null","0.1532","null","null","null","17.3176","10.74","8.5413","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","4.4461","null","null","301","40","null","null","0.4524","null","null","null","6.4308","2.817","3.7079","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","15.4157","null","null","48","1","null","null","1.9267","null","null","null","16.6433","13.586","6.6046","null",
"497242","null","Clay Harbor","TE","JAC","TE","JAC","null","3.7557","null","null","319","44","null","null","0.2472","null","null","null","4.7186","1.71","2.696","null",
"497246","null","Michael Hoomanawanui","TE","NE","TE","NE","null","0.7054","null","null","453","80","null","null","0.0647","null","null","null","1.0451","0.17","5.9327","null",
"497250","null","Anthony McCoy","TE","FA","TE","FA","null","0.0795","null","null","523","95","null","null","0.0403","null","null","null","0.1279","0","7.6104","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"497256","null","Tony Moeaki","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"497258","null","Andrew Quarless","TE","GB","TE","GB","null","4.0898","null","null","309","41","null","null","0.2041","null","null","null","5.289","2.74","3.8967","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0.2298","null","null","508","160","null","null","0.0242","null","null","null","0.3557","0","7.0795","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"497282","null","Riley Cooper","WR","PHI","WR","PHI","null","4.9113","null","null","288","97","null","null","0.3282","null","null","null","5.6235","2.6193","4.1788","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","12.1372","null","null","87","33","null","null","0.1221","null","null","null","13.8157","10.18","4.5228","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0.2037","null","null","510","162","null","null","0.0267","null","null","null","0.455","0","6.4254","null",
"497288","null","Jacoby Ford","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
